"","Watershed","Site.ID","Date","Observer","Start.Time","End.time","Spp","Sign.Type","Fresh","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest","Temp","cloudcover","Precip","Day","TTD","YMax"
"1","Pawtuxet",6,"2022-01-12","John Crockett",2022-01-12 11:08:00,2022-01-12 11:48:00,"Beaver","chewed stick","N","Y","Kayak",0,0.975,0,0,0,0.025,0.2,46,0,11,5,40
"5","Pawtuxet",6,"2022-01-12","Justin Moore",2022-01-12 11:13:00,2022-01-12 11:50:00,"Beaver","chewed stick","Y","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,0.2,46,0,11,2,37
"6","Pawtuxet",6,"2022-01-12","Justin Moore",2022-01-12 11:13:00,2022-01-12 11:50:00,"Other","lodge","N","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,0.2,46,0,11,4,37
"7","Pawtuxet",6,"2022-01-12","Justin Moore",2022-01-12 11:13:00,2022-01-12 11:50:00,"Beaver","food cache","Y","N","Kayak",0,0.972972972972973,0,0,0,0.027027027027027,0.2,46,0,11,15,37
"9","Pawtuxet",6,"2022-06-29","Jess Burr",2022-06-29 10:40:00,2022-06-29 11:26:00,"Muskrat","scat","Y","N","kayak",0,1,0,0,0,0,23.6,32,0,179,15,46
"10","Pawtuxet",6,"2022-06-29","Jess Burr",2022-06-29 10:40:00,2022-06-29 11:26:00,"Beaver","chewed stick","N","N","kayak",0,1,0,0,0,0,23.6,32,0,179,16,46
"25","Pawtuxet",6,"2022-06-29","John Crockett",2022-06-29 10:42:00,2022-06-29 11:19:00,"Muskrat","scat","Y","N","kayak",0,1,0,0,0,0,23.6,32,0,179,2,37
"27","Pawtuxet",6,"2022-06-29","John Crockett",2022-06-29 10:42:00,2022-06-29 11:19:00,"Beaver","chewed stick","N","N","kayak",0,1,0,0,0,0,23.6,32,0,179,14,37
"29","Pawtuxet",9,"2022-02-24","Justin Moore",2022-02-24 12:29:00,2022-02-24 13:10:00,"Beaver","chewed stick","N","N","Kayak",0,0,0,0,0,1,-1,89,0,54,2,41
"30","Pawtuxet",9,"2022-02-24","Justin Moore",2022-02-24 12:29:00,2022-02-24 13:10:00,"Muskrat","scat","Y","N","Kayak",0,0,0,0,0,1,-1,89,0,54,8,41
